kabupaten,kab_id,provinsi,prov_id,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_ha,norm_2001,norm_2002,norm_2003,norm_2004,norm_2005,norm_2006,norm_2007,norm_2008,norm_2009,norm_2010,norm_2011,norm_2012,norm_2013,norm_2014,norm_2015,norm_2016,norm_2017,norm_2018,norm_2019,norm_2020,norm_2021,norm_2022,norm_2023,norm_2024,kab_id_clean,cluster,cluster_name,total_deforestasi,pulau
ACEH UTARA,ID-1108,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194466339111328,44.71214498901372,22.712614715576176,1.514190661621094,13.71656627807618,123.8061297790528,276.30295400390673,98.9163549001896,5.1336001524682136,16.705278299752035,125.44689747651876,651.9489874755925,205.4236481384278,1594.5338332093072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125691833203715,0.0685822753742487,0.0348380243729214,0.0023225600326249,0.0210393244587862,0.1899015600261022,0.4238106957935124,0.1517240716688632,0.0078742359465055,0.0256235972762783,0.1924182718072174,1.0,0.3150915977856602,1108,3,Moderate,1594.533833209307,Sumatera
ADMINISTRASI KEPULAUAN SERIBU,ID-3101,DKI JAKARTA,ID-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3101,1,Zero,0.0,Jawa & Lainnya
AGAM,ID-1306,SUMATERA BARAT,ID-13,0.0,0.0,37.725435632324206,9.83363663940431,2.771298260498046,14.035282958984384,26.81904744262696,544.1581732360927,191.3982762634264,15.5550249084473,16.270202044677756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.5663773864819,0.0,0.0,0.0693280694618113,0.0180712835404528,0.0050928174872706,0.0257926530360041,0.0492853893623151,1.0,0.3517327969645047,0.0285854842828915,0.029899765996198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306,3,Moderate,858.566377386482,Sumatera
ALOR,ID-5305,NUSA TENGGARA TIMUR,ID-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305,1,Zero,0.0,Jawa & Lainnya
ASAHAN,ID-1209,SUMATERA UTARA,ID-12,0.0,0.0,0.0,0.0,249.36553894650865,0.0,0.0,0.0,0.0,79.55967960205069,108.40145446777352,356.8105348510754,0.0,267.3373567138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.4745645812754,0.0,0.0,0.0,0.0,0.6988738128222256,0.0,0.0,0.0,0.0,0.2229745812725431,0.3038067654393047,1.0,0.0,0.7492417700767937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209,3,Moderate,1061.4745645812754,Sumatera
ASMAT,ID-9118,PAPUA SELATAN,ID-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9118,1,Zero,0.0,Papua
BADUNG,ID-5103,BALI,ID-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5103,1,Zero,0.0,Jawa & Lainnya
BALANGAN,ID-6311,KALIMANTAN SELATAN,ID-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6311,1,Zero,0.0,Kalimantan
BANDUNG,ID-3204,JAWA BARAT,ID-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3204,1,Zero,0.0,Jawa & Lainnya
BANDUNG BARAT,ID-3217,JAWA BARAT,ID-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3217,1,Zero,0.0,Jawa & Lainnya
BANGGAI,ID-7201,SULAWESI TENGAH,ID-72,0.1787503051757812,8.043746313476568,0.0,323.441832836912,24.04146814575193,81.50847006225581,10.635356652832034,34.49586279296876,143.52267631225618,399.3682130310053,296.3182697204595,80.80160413818358,10.278482586669924,3.1282299133300766,0.0,0.7149157592773437,0.0,0.0,0.0,0.0,0.0,0.0,2.949369244384765,53.62492813110356,1473.0521759460432,0.0004475827052412,0.0201411781183799,0.0,0.8098837671184443,0.0601987523325634,0.2040935342441182,0.0266304535659335,0.0863760851950694,0.359374310797023,1.0,0.7419675879348329,0.2023235738391389,0.0257368569938538,0.0078329466674084,0.0,0.0017901168294078,0.0,0.0,0.0,0.0,0.0,0.0,0.007385087616264,0.1342744023719793,7201,3,Moderate,1473.0521759460435,Sulawesi
BANGGAI KEPULAUAN,ID-7207,SULAWESI TENGAH,ID-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7207,1,Zero,0.0,Sulawesi
BANGGAI LAUT,ID-7211,SULAWESI TENGAH,ID-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7211,1,Zero,0.0,Sulawesi
BANGKA,ID-1901,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,3.395836401367188,7.417223651123042,0.0,0.0,0.0,0.0,0.2680914367675781,196.6867792358394,517.0481907775879,86.85999535522483,45.57473449707018,13.136198260498045,96.51136311035184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.89841272583,0.0,0.0,0.0,0.0,0.006567736744732,0.0143453236727669,0.0,0.0,0.0,0.0,0.0005185037711173,0.3804031862872249,1.0,0.1679920690266727,0.0881440749817351,0.0254061391081216,0.1866583518360417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901,3,Moderate,966.89841272583,Jawa & Lainnya
BANGKA BARAT,ID-1905,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1905,1,Zero,0.0,Jawa & Lainnya
BANGKA SELATAN,ID-1903,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9244495904659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9244495904659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1903,3,Moderate,105.9244495904659,Jawa & Lainnya
BANGKA TENGAH,ID-1904,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679479553222656,0.0,1.6077941284179689,0.4466123107910156,0.0,22.23721853226008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038496154785156,0.0,0.0,25.36342254226984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120495265598773,0.0,0.0723019439722419,0.0200840006200912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361488382331788,0.0,0.0,1904,3,Moderate,25.363422542269845,Jawa & Lainnya
BANGKALAN,ID-3526,JAWA TIMUR,ID-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526,1,Zero,0.0,Jawa & Lainnya
BANGLI,ID-5106,BALI,ID-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5106,1,Zero,0.0,Jawa & Lainnya
BANJAR,ID-6303,KALIMANTAN SELATAN,ID-63,0.0,0.0,0.0,0.0,0.0,7.675913757324228,0.0,8.479580554199213,18.29863162841799,2.496868255016852,2.231680456542968,548.4238075257148,81.33694985124171,23.720709315640327,171.30665081444965,32.13487371826167,0.0,2.766827001953124,0.0,0.0,0.0,0.0,5.177250006103511,0.0,904.049742884866,0.0,0.0,0.0,0.0,0.0,0.0139963175412736,0.0,0.0154617294833642,0.0333658593542367,0.0045528079210889,0.0040692625409744,1.0,0.1483103919543608,0.0432525156459917,0.3123618057124869,0.0585949648379459,0.0,0.0050450526836827,0.0,0.0,0.0,0.0,0.0094402356992147,0.0,6303,3,Moderate,904.049742884866,Kalimantan
BANJARNEGARA,ID-3304,JAWA TENGAH,ID-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304,1,Zero,0.0,Jawa & Lainnya
BANTAENG,ID-7303,SULAWESI SELATAN,ID-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7303,1,Zero,0.0,Sulawesi
BANTUL,ID-3402,DAERAH ISTIMEWA YOGYAKARTA,ID-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3402,1,Zero,0.0,Jawa & Lainnya
BANYUASIN,ID-1607,SUMATERA SELATAN,ID-16,0.0,0.0,0.0,0.0,0.0,0.0,148.60613375854584,0.0,113.95251798706065,195.9294989624011,623.5164341735875,1283.624758721896,570.6336393310519,192.4444857482918,92.51590540771484,0.0,46.88386189575196,299.7843736572277,198.6952722229001,171.81484331664836,24.29874664916991,23.494899829101573,11.523953887939458,25.995935113525352,4023.7152606628138,0.0,0.0,0.0,0.0,0.0,0.0,0.1157706975880652,0.0,0.0887740106388436,0.1526376751703418,0.4857466560511206,1.0,0.4445486388866722,0.1499226969881047,0.0720739490097034,0.0,0.0365245852241383,0.2335451786982691,0.1547923338754706,0.1338513005060172,0.0189297896321072,0.0183035576943026,0.0089776656375916,0.0202519739019442,1607,3,Moderate,4023.7152606628147,Sumatera
BANYUMAS,ID-3302,JAWA TENGAH,ID-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3302,1,Zero,0.0,Jawa & Lainnya
BANYUWANGI,ID-3510,JAWA TIMUR,ID-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510,1,Zero,0.0,Jawa & Lainnya
BARITO KUALA,ID-6304,KALIMANTAN SELATAN,ID-63,0.0,0.0,0.0,0.0,0.0,0.0,106.9607465942378,394.0037825500471,327.04400742187426,53.56669264492851,65.35128440551765,983.4604828181652,595.8517082728483,63.50092101426064,132.60435981679905,11.262875612505738,38.93704565594837,136.47761830444335,12.589621044921875,0.0,0.0,0.0,0.0,0.0,2921.611146156498,0.0,0.0,0.0,0.0,0.0,0.0,0.1087595774949038,0.4006300094753228,0.3325441267194691,0.0544675597858593,0.0664503409615906,1.0,0.6058725476852912,0.0645688587631858,0.1348344566289163,0.0114522909758725,0.0395918761721588,0.1387728543127208,0.012801349179629,0.0,0.0,0.0,0.0,0.0,6304,3,Moderate,2921.611146156498,Kalimantan
BARITO SELATAN,ID-6204,KALIMANTAN TENGAH,ID-62,0.0,0.0,8.323794261666084,3.026055192751417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.185770485432943,35.20945075683592,333.5311832885739,23.68352934570312,0.0,123.15554070434568,34.58709770507811,0.0,13.85190923461914,393.66041687816016,979.2147478531664,0.0,0.0,0.021144605616374,0.0076869684200126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0258745102345036,0.0894411763216046,0.8472560841487994,0.0601623336517303,0.0,0.3128471530894683,0.0878602374588832,0.0,0.03518745761758,1.0,6204,3,Moderate,979.2147478531665,Kalimantan
BARITO TIMUR,ID-6213,KALIMANTAN TENGAH,ID-62,640.489007104487,819.4530218200854,1121.0125428428514,257.3437077406023,0.0,1.072213708496094,0.6254561279296875,3.305521069335937,462.867838507083,1499.5008709594742,2095.399238671881,2981.4679098937395,874.7718180847103,988.6986858154278,1980.6152351378464,1012.8026148986742,369.0747560180669,182.16124685058568,262.92514287109384,171.26166423950158,152.78096745605475,101.49558071289056,84.60866962890614,175.83164298095656,16239.56535314068,0.2148233777660596,0.2748488484819181,0.3759934960637576,0.0863144315210067,0.0,0.0003596261106611,0.0002097812711162,0.0011086891320771,0.1552483046928315,0.5029404696872679,0.7028079127460949,1.0,0.2934030633641424,0.3316147333112384,0.664308754947638,0.3396993177547803,0.1237896120878325,0.0610978391704635,0.0881864741856183,0.0574420619021874,0.0512435391134228,0.0340421509740508,0.0283781922817749,0.0589748567802707,6213,3,Moderate,16239.565353140677,Kalimantan
BARITO UTARA,ID-6205,KALIMANTAN TENGAH,ID-62,241.86708493042096,1019.3057786804252,2106.159181372056,4934.970632818269,2349.7763423279057,3136.4600278441094,36.37755962524415,612.2376669494695,263.4176887741025,645.3946869539366,38.343563958740255,95.72477551269512,191.7358477661133,926.0966564088136,45.85604580688474,170.1935307373045,12.424823895263676,2.502856622314453,1.608981884765625,0.8044870300292969,164.4709098517207,523.0863926648258,1043.637532434156,752.5897351727723,19315.042790022337,0.0490108458441413,0.2065474862002003,0.4267825156579033,1.0,0.4761479889467939,0.6355579923791635,0.0073713832020251,0.1240610557797447,0.0533777621739705,0.1307798434831543,0.0077697653768697,0.0193972330607423,0.0388524799906694,0.1876600136685995,0.0092920605245217,0.0344872428633096,0.0025177097939827,0.0005071674805256,0.0003260367699182,0.0001630175921776,0.0333276369990867,0.1059958471051936,0.2114779620964338,0.1525013604271404,6205,3,Moderate,19315.042790022344,Kalimantan
BARRU,ID-7311,SULAWESI SELATAN,ID-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7311,1,Zero,0.0,Sulawesi
BATANG,ID-3325,JAWA TENGAH,ID-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3325,1,Zero,0.0,Jawa & Lainnya
BATANGHARI,ID-1504,JAMBI,ID-15,0.2681009948730469,0.0,8.576659716796874,49.85343567504875,40.3818192565918,85.65781950956463,136.7012781433105,334.6191824900896,193.36380507436823,237.96706689453111,1381.6445065681023,1459.184100281367,690.2792460699573,447.48960456427767,457.1743147705064,220.98903651123024,193.5482143859857,5.0931667358398425,24.30533470458984,25.825530310058586,20.641507354736333,14.564080334472656,202.5802084777831,456.3680339721682,6687.07605279625,0.0001837334951918,0.0,0.0058777091356348,0.0341652815881394,0.0276742456615345,0.0587025444514147,0.093683366010465,0.2293193726724179,0.1325150164650799,0.1630822778624336,0.9468609932781524,1.0,0.4730583659298742,0.3066711078321033,0.3133081800181018,0.151446987716367,0.1326413948374744,0.0034904209378773,0.016656797932422,0.01769861000067,0.0141459239795418,0.0099809752118765,0.1388311512157517,0.3127556241081362,1504,3,Moderate,6687.076052796248,Sumatera
