year,kabupaten,kab_id,provinsi,prov_id,deforestasi_ha
2001,OGAN ILIR,ID-1610,SUMATERA SELATAN,ID-16,0.0
2001,OGAN KOMERING ILIR,ID-1602,SUMATERA SELATAN,ID-16,0.0
2001,OGAN KOMERING ULU,ID-1601,SUMATERA SELATAN,ID-16,0.0
2001,OGAN KOMERING ULU SELATAN,ID-1609,SUMATERA SELATAN,ID-16,0.0
2001,OGAN KOMERING ULU TIMUR,ID-1608,SUMATERA SELATAN,ID-16,0.0
2001,PACITAN,ID-3501,JAWA TIMUR,ID-35,0.0
2001,PADANG LAWAS,ID-1221,SUMATERA UTARA,ID-12,241.13718113755124
2001,PADANG LAWAS UTARA,ID-1220,SUMATERA UTARA,ID-12,3146.456838653494
2001,PADANG PARIAMAN,ID-1305,SUMATERA BARAT,ID-13,0.0
2001,PAKPAK BHARAT,ID-1215,SUMATERA UTARA,ID-12,0.0
2001,PAMEKASAN,ID-3528,JAWA TIMUR,ID-35,0.0
2001,PANDEGLANG,ID-3601,BANTEN,ID-36,0.0
2001,PANGANDARAN,ID-3218,JAWA BARAT,ID-32,0.0
2001,PANGKAJENE KEPULAUAN,ID-7310,SULAWESI SELATAN,ID-73,0.0
2001,PANIAI,ID-9108,PAPUA TENGAH,ID-94,0.0
2001,PARIGI MOUTONG,ID-7208,SULAWESI TENGAH,ID-72,0.0
2001,PASAMAN,ID-1308,SUMATERA BARAT,ID-13,0.0
2001,PASAMAN BARAT,ID-1312,SUMATERA BARAT,ID-13,35.31186583862304
2001,PASANGKAYU,ID-7601,SULAWESI BARAT,ID-76,169.2553743286133
2001,PASER,ID-6401,KALIMANTAN TIMUR,ID-64,13.93870956420898
2001,PASURUAN,ID-3514,JAWA TIMUR,ID-35,0.0
2001,PATI,ID-3318,JAWA TENGAH,ID-33,0.0
2001,PEGUNUNGAN ARFAK,ID-9212,PAPUA BARAT,ID-92,0.0
2001,PEGUNUNGAN BINTANG,ID-9112,PAPUA PEGUNUNGAN,ID-95,0.0
2001,PEKALONGAN,ID-3326,JAWA TENGAH,ID-33,0.0
2001,PELALAWAN,ID-1405,RIAU,ID-14,3010.5218225653016
2001,PEMALANG,ID-3327,JAWA TENGAH,ID-33,0.0
2001,PENAJAM PASER UTARA,ID-6409,KALIMANTAN TIMUR,ID-64,2.32363052368164
2001,PENUKAL ABAB LEMATANG ILIR,ID-1612,SUMATERA SELATAN,ID-16,0.0
2001,PESAWARAN,ID-1809,LAMPUNG,ID-18,0.0
2001,PESISIR BARAT,ID-1813,LAMPUNG,ID-18,0.0
2001,PESISIR SELATAN,ID-1301,SUMATERA BARAT,ID-13,38.414104547119095
2001,PIDIE,ID-1107,ACEH,ID-11,0.0
2001,PIDIE JAYA,ID-1118,ACEH,ID-11,0.0
2001,PINRANG,ID-7315,SULAWESI SELATAN,ID-73,0.0
2001,POHUWATO,ID-7504,GORONTALO,ID-75,8.134513323974613
2001,POLEWALI MANDAR,ID-7604,SULAWESI BARAT,ID-76,0.0
2001,PONOROGO,ID-3502,JAWA TIMUR,ID-35,0.0
2001,POSO,ID-7202,SULAWESI TENGAH,ID-72,0.0
2001,PRINGSEWU,ID-1810,LAMPUNG,ID-18,0.0
2001,PROBOLINGGO,ID-3513,JAWA TIMUR,ID-35,0.0
2001,PULANG PISAU,ID-6211,KALIMANTAN TENGAH,ID-62,0.0
2001,PULAU MOROTAI,ID-8207,MALUKU UTARA,ID-82,0.0
2001,PULAU TALIABU,ID-8208,MALUKU UTARA,ID-82,0.0
2001,PUNCAK,ID-9125,PAPUA TENGAH,ID-94,0.0
2001,PUNCAK JAYA,ID-9107,PAPUA TENGAH,ID-94,0.0
2001,PURBALINGGA,ID-3303,JAWA TENGAH,ID-33,0.0
2001,PURWAKARTA,ID-3214,JAWA BARAT,ID-32,0.0
2001,PURWOREJO,ID-3306,JAWA TENGAH,ID-33,0.0
2001,RAJA AMPAT,ID-9205,PAPUA BARAT DAYA,ID-96,0.0
2001,REJANG LEBONG,ID-1702,BENGKULU,ID-17,0.0
2001,REMBANG,ID-3317,JAWA TENGAH,ID-33,0.0
2001,ROKAN HILIR,ID-1407,RIAU,ID-14,214.08725247802732
2001,ROKAN HULU,ID-1406,RIAU,ID-14,168.48371669352227
2001,ROTE NDAO,ID-5314,NUSA TENGGARA TIMUR,ID-53,0.0
2001,SABU RAIJUA,ID-5320,NUSA TENGGARA TIMUR,ID-53,0.0
2001,SAMBAS,ID-6101,KALIMANTAN BARAT,ID-61,184.17511145019432
2001,SAMOSIR,ID-1217,SUMATERA UTARA,ID-12,0.0
2001,SAMPANG,ID-3527,JAWA TIMUR,ID-35,0.0
2001,SANGGAU,ID-6103,KALIMANTAN BARAT,ID-61,3.7325171631338088
2001,SARMI,ID-9110,PAPUA,ID-91,0.0
2001,SAROLANGUN,ID-1503,JAMBI,ID-15,513.6586873779357
2001,SEKADAU,ID-6109,KALIMANTAN BARAT,ID-61,0.0
2001,SELUMA,ID-1705,BENGKULU,ID-17,0.0
2001,SEMARANG,ID-3322,JAWA TENGAH,ID-33,0.0
